id,duration,age,job,marital,education,credit_default,housing,loan
215,381,39,housemaid,married,basic_4y,unknown,yes,no
216,251,30,blue-collar,single,,no,yes,no
217,408,30,blue-collar,single,,no,yes,yes
218,287,50,housemaid,married,basic_4y,unknown,no,no
219,322,40,services,married,high_school,no,no,no
220,216,35,admin,married,high_school,no,yes,no
221,366,43,technician,married,,unknown,no,no
222,210,36,services,single,basic_6y,unknown,yes,no
223,288,46,technician,married,basic_4y,unknown,yes,no
224,168,40,technician,married,basic_9y,no,no,no
225,132,58,retired,married,university_degree,no,no,no
226,64,42,technician,married,university_degree,no,no,no
227,209,35,admin,single,university_degree,no,no,no
228,410,43,retired,married,basic_4y,unknown,no,no
229,177,45,blue-collar,married,basic_4y,no,yes,yes
230,580,39,admin,married,professional_course,no,yes,no
231,165,50,services,divorced,professional_course,no,yes,no
232,127,32,management,divorced,basic_4y,unknown,yes,no
233,357,39,admin,married,high_school,unknown,no,no
234,175,52,self-employed,married,university_degree,unknown,no,no
235,300,44,admin,married,professional_course,no,yes,no
236,136,56,blue-collar,married,basic_4y,no,no,no
237,125,48,admin,married,high_school,no,no,no
238,189,33,services,married,high_school,unknown,no,yes
239,213,43,management,married,university_degree,unknown,no,yes
240,238,57,retired,married,high_school,no,no,no
241,124,36,technician,single,professional_course,no,no,no
242,18,34,management,married,university_degree,no,yes,no
243,730,34,services,single,basic_9y,no,no,no
244,40,30,technician,married,university_degree,unknown,no,no
245,181,33,services,divorced,,no,no,no
246,79,32,technician,single,professional_course,no,no,no
247,142,36,technician,single,high_school,no,yes,no
248,389,36,blue-collar,single,high_school,no,no,yes
249,702,33,services,single,high_school,no,no,no
250,151,40,technician,divorced,professional_course,no,no,no
251,211,41,blue-collar,married,basic_4y,no,yes,no
252,117,51,services,married,basic_6y,no,yes,no
253,232,36,technician,married,professional_course,no,yes,no
254,408,28,services,married,,no,no,no
255,370,53,services,married,high_school,no,yes,yes
256,179,58,blue-collar,married,basic_9y,unknown,yes,no
257,46,45,management,married,basic_9y,no,no,yes
258,200,43,technician,married,,no,yes,no
259,50,33,admin,married,high_school,no,no,yes
260,181,33,admin,married,high_school,no,no,yes
261,119,27,blue-collar,single,basic_6y,no,unknown,unknown
262,361,42,technician,married,high_school,no,no,no
263,73,43,admin,divorced,basic_9y,no,no,no
264,67,42,admin,married,university_degree,no,no,no
265,350,27,blue-collar,single,basic_6y,no,no,no
266,150,34,self-employed,single,university_degree,no,yes,no
267,332,31,student,single,university_degree,unknown,no,no
268,611,54,management,divorced,university_degree,no,no,no
269,58,40,self-employed,married,basic_4y,unknown,no,no
270,151,52,unemployed,married,high_school,unknown,yes,no
271,89,47,management,divorced,university_degree,no,no,no
272,152,49,housemaid,married,basic_9y,unknown,no,no
273,611,32,admin,single,high_school,no,no,no
274,110,49,housemaid,single,high_school,unknown,yes,yes
275,463,50,blue-collar,married,basic_9y,unknown,no,no
276,962,34,services,married,high_school,no,no,no
277,102,55,blue-collar,married,basic_4y,unknown,no,no
278,10,47,technician,single,basic_9y,no,no,no
279,118,51,retired,married,professional_course,no,no,no
280,92,47,blue-collar,married,basic_6y,no,no,no
281,143,56,technician,married,basic_4y,no,yes,no
282,189,53,admin,married,basic_9y,no,no,no
283,75,36,blue-collar,married,basic_9y,no,yes,no
284,189,42,blue-collar,divorced,basic_9y,no,yes,no
285,55,44,blue-collar,divorced,basic_6y,no,no,no
286,935,39,housemaid,married,basic_9y,no,yes,no
287,56,37,admin,single,high_school,no,yes,yes
288,5,60,blue-collar,married,,unknown,yes,no
289,225,36,services,married,high_school,no,no,no
290,125,42,management,divorced,university_degree,no,yes,no
291,286,31,admin,married,high_school,no,yes,yes
292,206,53,technician,divorced,professional_course,unknown,no,yes
293,164,45,blue-collar,married,basic_4y,no,yes,no
294,98,37,technician,single,professional_course,no,yes,no
295,446,47,self-employed,married,professional_course,no,no,no
296,742,49,blue-collar,divorced,high_school,no,no,yes
297,120,36,admin,married,university_degree,no,yes,no
298,122,35,services,divorced,high_school,no,no,no
299,362,38,unknown,married,,unknown,no,no
300,357,38,services,single,high_school,unknown,no,no
301,200,50,blue-collar,divorced,high_school,unknown,no,yes
302,107,59,retired,married,professional_course,unknown,no,no
303,267,43,unknown,married,,no,yes,no
304,248,42,admin,married,high_school,no,yes,no
305,215,40,admin,married,basic_6y,unknown,yes,no
306,209,46,blue-collar,married,,unknown,no,no
307,205,57,housemaid,divorced,basic_4y,no,yes,yes
308,261,42,admin,married,university_degree,no,yes,no
309,83,41,blue-collar,married,basic_4y,no,yes,no
310,106,54,management,divorced,university_degree,no,yes,no
311,106,27,admin,single,university_degree,no,no,no
312,108,36,admin,married,high_school,no,no,no
313,214,58,blue-collar,married,professional_course,unknown,yes,no
314,358,40,management,married,university_degree,unknown,yes,no
315,453,34,admin,single,basic_9y,unknown,no,no
316,364,33,admin,divorced,high_school,no,no,no
317,136,56,retired,married,basic_6y,no,no,no
318,173,42,blue-collar,married,basic_9y,no,no,no
319,241,43,services,married,high_school,no,yes,no
320,224,54,management,single,basic_9y,no,yes,no
321,148,53,admin,single,basic_6y,no,yes,yes
322,230,42,technician,single,,no,no,no
323,199,40,services,married,basic_6y,unknown,no,no
324,196,54,technician,married,professional_course,no,yes,yes
325,111,40,housemaid,single,professional_course,no,no,no
326,231,26,admin,single,university_degree,no,yes,no
327,316,33,admin,married,high_school,no,no,no
328,240,35,blue-collar,married,basic_9y,unknown,no,no
329,669,36,admin,married,high_school,no,no,no
330,425,29,services,single,high_school,no,yes,no
331,121,36,blue-collar,married,basic_9y,no,yes,no
332,174,35,management,married,high_school,no,yes,no
333,88,50,self-employed,single,university_degree,no,no,yes
334,313,46,services,married,high_school,unknown,yes,no
335,135,49,entrepreneur,married,high_school,no,yes,no
336,152,42,technician,single,professional_course,unknown,yes,no
337,402,36,blue-collar,single,high_school,no,yes,yes
338,221,55,blue-collar,married,basic_9y,unknown,yes,no
339,213,41,management,married,university_degree,unknown,no,no
340,144,57,management,married,professional_course,unknown,yes,no
341,158,32,services,single,high_school,no,yes,no
342,220,49,admin,married,basic_9y,no,no,no
343,325,57,unknown,married,,unknown,yes,no
344,254,58,blue-collar,divorced,basic_4y,no,yes,no
345,503,52,technician,married,high_school,no,yes,no
346,680,50,services,divorced,professional_course,no,no,no
347,421,41,blue-collar,single,basic_9y,unknown,yes,no
348,130,33,entrepreneur,married,university_degree,no,yes,no
349,164,57,blue-collar,married,basic_4y,no,no,no
350,174,48,blue-collar,married,basic_6y,unknown,no,no
351,113,55,technician,married,professional_course,no,no,no
352,195,38,management,married,university_degree,no,no,no
353,347,38,services,married,high_school,no,yes,no
354,208,53,admin,married,university_degree,no,yes,no
355,404,43,unemployed,single,university_degree,no,no,no
356,396,36,blue-collar,single,high_school,no,no,no
357,98,32,blue-collar,married,basic_9y,no,no,no
358,229,33,services,married,basic_4y,no,no,no
359,350,58,entrepreneur,married,basic_4y,no,yes,no
360,88,40,unemployed,divorced,high_school,unknown,no,no
361,379,57,management,married,university_degree,no,yes,no
362,168,45,technician,married,high_school,no,yes,no
363,190,42,blue-collar,married,basic_4y,unknown,yes,no
364,158,46,admin,married,university_degree,no,yes,no
365,210,36,technician,married,university_degree,no,no,no
366,102,41,self-employed,married,high_school,no,yes,no
367,306,57,admin,divorced,basic_9y,no,no,no
368,64,49,blue-collar,married,basic_9y,unknown,yes,no
369,218,56,management,divorced,high_school,no,no,no
370,77,37,blue-collar,married,basic_9y,no,no,no
371,54,37,blue-collar,married,basic_9y,no,no,yes
372,344,46,admin,single,high_school,no,yes,no
373,195,22,blue-collar,single,basic_9y,no,yes,no
374,202,43,services,married,high_school,no,no,no
375,286,49,blue-collar,married,,no,no,no
376,278,41,technician,married,basic_6y,no,yes,no
377,189,38,admin,single,university_degree,no,no,no
378,83,33,admin,married,basic_9y,no,no,no
379,18,49,admin,married,university_degree,no,yes,yes
380,184,30,blue-collar,single,,no,no,no
381,235,33,admin,married,basic_9y,no,yes,no
382,290,34,management,single,university_degree,no,no,no
383,133,30,student,single,,unknown,no,no
384,318,59,management,married,basic_4y,unknown,yes,yes
385,437,59,management,married,basic_4y,unknown,unknown,unknown
386,402,41,self-employed,married,university_degree,no,no,no
387,501,48,housemaid,married,basic_6y,unknown,yes,yes
388,1201,28,unknown,single,,unknown,yes,yes
389,1030,44,services,married,high_school,no,yes,no
390,253,59,retired,unknown,university_degree,unknown,no,no
391,149,50,management,married,high_school,unknown,no,no
392,144,35,admin,married,university_degree,no,no,no
393,69,42,admin,married,high_school,no,no,no
394,243,45,admin,married,basic_9y,no,no,no
395,769,36,technician,married,professional_course,no,no,no
396,135,56,services,married,high_school,unknown,no,no
397,231,29,blue-collar,divorced,basic_4y,no,no,no
398,442,41,self-employed,married,university_degree,no,yes,yes
399,199,42,blue-collar,married,basic_9y,unknown,no,no
400,455,52,services,single,high_school,no,no,no
401,152,48,services,married,high_school,unknown,unknown,unknown
402,124,31,blue-collar,married,high_school,unknown,yes,no
403,424,43,unemployed,married,university_degree,unknown,yes,no
404,43,36,blue-collar,married,basic_4y,unknown,no,no
405,154,42,entrepreneur,married,university_degree,no,yes,no
406,393,52,services,divorced,basic_6y,no,no,no
407,203,39,admin,married,high_school,no,yes,no
408,140,36,services,married,high_school,no,no,yes
409,326,42,blue-collar,married,basic_9y,unknown,yes,no
410,483,41,admin,married,high_school,no,no,no
411,259,55,technician,married,basic_4y,no,no,yes
412,227,30,blue-collar,married,basic_9y,no,no,no
413,673,57,retired,unknown,basic_4y,no,no,no
414,576,45,entrepreneur,married,basic_4y,unknown,yes,no
415,180,51,blue-collar,married,basic_4y,unknown,yes,yes
416,90,39,self-employed,single,basic_9y,unknown,yes,yes
417,505,47,admin,married,high_school,unknown,no,no
418,245,27,services,married,high_school,no,yes,no
419,186,34,technician,single,university_degree,no,yes,no
420,208,57,blue-collar,married,basic_4y,unknown,yes,no
421,623,43,entrepreneur,married,basic_4y,no,no,no
422,180,49,blue-collar,married,basic_4y,unknown,no,no
423,496,39,management,married,university_degree,unknown,no,no
424,118,38,blue-collar,married,basic_4y,unknown,yes,no
425,102,49,blue-collar,married,basic_9y,no,no,no
426,342,58,management,married,basic_6y,no,no,no
427,225,43,technician,married,professional_course,no,yes,no
428,185,50,unknown,married,,unknown,yes,no
429,276,31,services,married,high_school,unknown,no,no
430,87,43,self-employed,divorced,university_degree,no,no,no
431,744,43,self-employed,married,basic_9y,unknown,no,no
432,262,30,self-employed,single,university_degree,no,yes,no
433,271,27,services,single,professional_course,no,yes,yes
434,141,51,services,married,,unknown,no,no
435,198,37,technician,married,professional_course,no,yes,no
436,150,46,housemaid,married,basic_9y,no,yes,no
437,241,35,blue-collar,married,professional_course,no,no,no
438,196,47,admin,divorced,university_degree,no,no,no
439,149,46,management,married,,no,yes,no
440,264,40,technician,married,professional_course,unknown,no,yes
441,246,26,housemaid,married,university_degree,no,no,no
442,309,32,blue-collar,divorced,basic_9y,unknown,no,no
443,140,45,management,married,university_degree,no,yes,no
444,175,34,admin,married,basic_9y,no,no,no
445,136,47,blue-collar,married,,unknown,no,no
446,1623,42,technician,married,professional_course,no,no,no
447,50,57,technician,married,basic_4y,unknown,no,yes
448,101,57,technician,married,basic_4y,unknown,no,no
449,144,38,blue-collar,married,basic_4y,no,no,yes
450,238,57,technician,married,basic_4y,unknown,no,no
451,354,28,student,single,basic_9y,unknown,yes,no
452,451,60,management,married,university_degree,no,no,no
453,159,48,admin,married,university_degree,no,yes,no
454,170,47,technician,married,professional_course,no,yes,no
455,243,40,admin,married,high_school,no,no,no
456,141,51,management,married,professional_course,unknown,yes,no
457,112,48,unemployed,single,basic_4y,no,yes,no
458,262,54,housemaid,married,basic_4y,no,no,no
459,53,40,blue-collar,married,basic_6y,no,no,yes
460,134,44,admin,single,basic_9y,unknown,no,no
461,204,42,technician,divorced,high_school,no,no,no
462,678,52,self-employed,married,university_degree,no,yes,no
463,182,31,blue-collar,single,basic_9y,no,yes,no
464,162,32,services,married,high_school,no,no,no
465,177,44,admin,married,high_school,no,yes,yes
466,27,39,management,married,basic_6y,unknown,no,no
467,699,57,management,married,professional_course,unknown,yes,no
468,358,52,admin,married,basic_4y,no,yes,no
469,1677,42,management,married,university_degree,no,no,no
470,529,42,technician,single,professional_course,unknown,unknown,unknown
471,310,43,management,married,professional_course,no,yes,no
472,47,31,admin,divorced,high_school,no,no,no
473,379,29,admin,married,university_degree,unknown,yes,no
474,30,57,blue-collar,divorced,basic_4y,no,no,no
475,472,44,blue-collar,married,basic_9y,unknown,no,no
476,113,59,unknown,married,,unknown,no,no
477,114,39,blue-collar,married,basic_4y,unknown,no,no
478,116,57,retired,married,university_degree,no,no,no
479,448,41,management,married,,unknown,no,no
480,264,37,technician,single,high_school,unknown,no,yes
481,169,38,services,married,high_school,no,yes,no
482,145,42,retired,married,basic_4y,no,no,no
483,288,49,unknown,married,,unknown,yes,no
484,381,54,management,married,basic_6y,unknown,yes,yes
485,176,36,admin,married,university_degree,no,unknown,unknown
486,215,32,admin,single,university_degree,unknown,no,no
487,278,35,technician,married,professional_course,no,yes,no
488,188,45,housemaid,married,professional_course,unknown,no,no
489,174,56,technician,married,,no,yes,no
490,226,34,technician,married,university_degree,no,yes,no
491,111,41,unemployed,married,basic_9y,unknown,no,no
492,157,41,services,married,basic_9y,no,no,no
493,46,36,blue-collar,married,basic_9y,unknown,no,no
494,49,32,admin,single,university_degree,unknown,unknown,unknown
495,374,31,services,married,high_school,unknown,unknown,unknown
496,349,38,technician,married,professional_course,no,yes,no
497,325,35,admin,divorced,university_degree,unknown,yes,no
498,233,53,admin,married,professional_course,no,yes,no
499,531,51,admin,married,basic_6y,unknown,yes,no
500,153,56,entrepreneur,married,university_degree,unknown,no,no
501,80,33,admin,married,basic_9y,no,unknown,unknown
502,198,33,admin,married,basic_9y,no,no,no
503,568,51,services,divorced,high_school,unknown,yes,no
504,918,39,services,married,high_school,unknown,yes,no
505,82,45,entrepreneur,married,university_degree,no,no,no
506,198,40,technician,single,university_degree,no,no,no
507,211,60,unknown,single,,unknown,yes,no
508,120,33,technician,married,university_degree,no,yes,no
509,269,47,blue-collar,married,high_school,unknown,yes,no
510,128,48,blue-collar,married,basic_4y,no,no,no
511,166,43,entrepreneur,married,high_school,no,no,no
512,211,37,management,married,university_degree,no,yes,no
513,369,50,services,married,basic_9y,no,yes,yes
514,91,59,entrepreneur,married,high_school,no,yes,no
515,267,32,technician,married,,unknown,yes,no
516,198,42,housemaid,single,basic_4y,unknown,yes,no
517,371,52,blue-collar,married,basic_4y,no,no,no
518,288,42,blue-collar,married,,unknown,no,no
519,221,42,admin,married,,no,no,no
520,427,40,management,married,basic_9y,unknown,unknown,unknown
521,310,38,blue-collar,married,basic_9y,no,no,no
522,158,39,blue-collar,married,basic_6y,no,yes,no
523,198,39,blue-collar,married,basic_6y,no,no,no
524,145,38,admin,married,high_school,no,no,no
525,247,47,admin,single,,unknown,yes,no
526,102,30,services,single,high_school,no,no,no
527,179,38,admin,divorced,high_school,no,yes,yes
528,73,39,technician,divorced,university_degree,no,no,no
529,263,44,admin,married,high_school,no,no,no
530,342,36,admin,married,high_school,no,no,no
531,41,41,services,married,high_school,unknown,yes,yes
532,13,41,blue-collar,married,basic_6y,no,no,no
533,79,35,blue-collar,married,basic_9y,no,no,no
534,358,41,technician,married,high_school,no,no,no
535,162,36,services,married,high_school,unknown,no,no
536,150,35,admin,single,high_school,no,yes,yes
537,26,33,blue-collar,single,basic_4y,unknown,no,no
538,250,38,admin,single,basic_6y,unknown,no,no
539,792,33,self-employed,married,university_degree,no,no,no
540,146,55,self-employed,married,,unknown,no,no
541,440,36,blue-collar,single,basic_9y,unknown,no,no
542,289,57,technician,married,professional_course,unknown,no,yes
543,242,32,entrepreneur,single,university_degree,no,yes,no
544,123,30,self-employed,single,high_school,no,yes,no
545,161,43,admin,married,professional_course,no,yes,yes
546,268,46,admin,married,university_degree,no,no,no
547,259,35,admin,divorced,high_school,no,no,yes
548,26,34,admin,single,university_degree,no,yes,yes
549,153,50,blue-collar,married,basic_4y,unknown,unknown,unknown
550,424,39,admin,single,university_degree,no,no,no
551,375,39,blue-collar,married,basic_9y,unknown,no,no
552,179,42,entrepreneur,married,basic_6y,no,no,no
553,383,57,retired,married,university_degree,no,yes,no
554,440,45,blue-collar,married,basic_4y,unknown,no,no
555,195,40,technician,married,basic_4y,no,no,yes
556,1297,42,blue-collar,married,high_school,no,no,yes
557,217,40,technician,married,basic_4y,no,no,no
558,87,38,blue-collar,single,basic_4y,unknown,no,no
559,427,39,blue-collar,married,basic_6y,unknown,yes,yes
560,189,41,blue-collar,married,basic_4y,no,no,no
561,502,39,blue-collar,married,basic_6y,unknown,yes,no
562,260,41,blue-collar,married,basic_4y,no,yes,yes
563,209,45,admin,married,university_degree,unknown,no,no
564,179,35,admin,divorced,university_degree,no,unknown,unknown
565,179,35,admin,married,basic_6y,no,yes,no
566,69,49,blue-collar,married,high_school,unknown,no,no
567,105,36,technician,married,,no,no,no
568,266,23,admin,single,university_degree,no,no,no
569,87,43,unemployed,married,university_degree,unknown,unknown,unknown
570,524,49,entrepreneur,married,professional_course,no,unknown,unknown
571,155,36,technician,married,professional_course,no,unknown,unknown
572,162,51,blue-collar,married,basic_9y,unknown,yes,no
573,316,56,retired,married,basic_4y,unknown,yes,yes
